Ward Name,La Name,Ward Code,La Code
Verulam,St Albans,E07000240,E05004803
Ashley,St Albans,E05004785,E07000240
Sopwell,St Albans,E05004802,E07000240
Cunningham,St Albans,E05004789,E07000240
St Peters,St Albans,E05004799,E07000240
Clarence,St Albans,E05004787,E07000240
Marshalswick South,St Albans,E05004796,E07000240
Colney Heath,St Albans,E05009028,E07000240
London Colney,St Albans,E05004794,E07000240
St Stephen,St Albans,E05004800,E07000240
Park Street,St Albans,E05004797,E07000240
Redbourn,St Albans,E05004798,E07000240
Batchwood,St Albans,E05004786,E07000240
Sandridge,St Albans,E05004801,E07000240
Wheathampstead,St Albans,E05004804,E07000240
Harpenden South,St Albans,E05004792,E07000240
Marshalswick North,St Albans,E05004795,E07000240
Harpenden East,St Albans,E05004790,E07000240
Harpenden West,St Albans,E05004793,E07000240
Harpenden North,St Albans,E05004791,E07000240
