Ward Name,La Name,Ward Code,La Code
Roebuck,Stevenage,E07000243,E05004813
Bedwell,Stevenage,E05004806,E07000243
Old Town,Stevenage,E05004811,E07000243
Symonds Green,Stevenage,E05004816,E07000243
Pin Green,Stevenage,E05004812,E07000243
Woodfield,Stevenage,E05004817,E07000243
St Nicholas,Stevenage,E05004814,E07000243
Martins Wood,Stevenage,E05004810,E07000243
Chells,Stevenage,E05004807,E07000243
Manor,Stevenage,E05009316,E07000243
Bandley Hill,Stevenage,E05004805,E07000243
Longmeadow,Stevenage,E05004808,E07000243
Shephall,Stevenage,E05004815,E07000243
