Ward Name,La Name,Ward Code,La Code
Heatons South,Stockport,E08000007,E05000792
Heatons North,Stockport,E05000791,E08000007
Reddish North,Stockport,E05000797,E08000007
Cheadle and Gatley,Stockport,E05000784,E08000007
Brinnington and Central,Stockport,E05000783,E08000007
Manor,Stockport,E05000793,E08000007
Davenport and Cale Green,Stockport,E05000787,E08000007
Bramhall South and Woodford,Stockport,E05000780,E08000007
Marple South and High Lane,Stockport,E05000795,E08000007
Marple North,Stockport,E05000794,E08000007
Bredbury and Woodley,Stockport,E05000781,E08000007
Offerton,Stockport,E05000796,E08000007
Stepping Hill,Stockport,E05000799,E08000007
Cheadle Hulme North,Stockport,E05000785,E08000007
Edgeley and Cheadle Heath,Stockport,E05000788,E08000007
Hazel Grove,Stockport,E05000789,E08000007
Reddish South,Stockport,E05000798,E08000007
Bredbury Green and Romiley,Stockport,E05000782,E08000007
Bramhall North,Stockport,E05000779,E08000007
Heald Green,Stockport,E05000790,E08000007
Cheadle Hulme South,Stockport,E05000786,E08000007
