Ward Name,La Name,Ward Code,La Code
Western Parishes,Stockton-on-Tees,E06000004,E05001551
Yarm,Stockton-on-Tees,E05001552,E06000004
Newtown,Stockton-on-Tees,E05001541,E06000004
Ingleby Barwick West,Stockton-on-Tees,E05001539,E06000004
Ingleby Barwick East,Stockton-on-Tees,E05001538,E06000004
Eaglescliffe,Stockton-on-Tees,E05001533,E06000004
Northern Parishes,Stockton-on-Tees,E05001542,E06000004
Hartburn,Stockton-on-Tees,E05001537,E06000004
Village,Stockton-on-Tees,E05001550,E06000004
Stainsby Hill,Stockton-on-Tees,E05001548,E06000004
Mandale and Victoria,Stockton-on-Tees,E05001540,E06000004
Stockton Town Centre,Stockton-on-Tees,E05001549,E06000004
Parkfield and Oxbridge,Stockton-on-Tees,E05001546,E06000004
Norton South,Stockton-on-Tees,E05001544,E06000004
Billingham South,Stockton-on-Tees,E05001530,E06000004
Grangefield,Stockton-on-Tees,E05001535,E06000004
Fairfield,Stockton-on-Tees,E05001534,E06000004
Bishopsgarth and Elm Tree,Stockton-on-Tees,E05001532,E06000004
Roseworth,Stockton-on-Tees,E05001547,E06000004
Hardwick and Salters Lane,Stockton-on-Tees,E05001536,E06000004
Norton North,Stockton-on-Tees,E05001543,E06000004
Norton West,Stockton-on-Tees,E05001545,E06000004
Billingham West,Stockton-on-Tees,E05001531,E06000004
Billingham North,Stockton-on-Tees,E05001529,E06000004
Billingham East,Stockton-on-Tees,E05001528,E06000004
Billingham Central,Stockton-on-Tees,E05001527,E06000004
