Ward Name,La Name,Ward Code,La Code
Tanworth-in-Arden,Stratford-on-Avon,E07000221,E05010207
Alcester Town,Stratford-on-Avon,E05010178,E07000221
Alcester & Rural,Stratford-on-Avon,E05010179,E07000221
Kinwarton,Stratford-on-Avon,E05010194,E07000221
Studley with Sambourne,Stratford-on-Avon,E05010206,E07000221
Bidford West & Salford,Stratford-on-Avon,E05010182,E07000221
Studley with Mappleborough Green,Stratford-on-Avon,E05010205,E07000221
Wotton Wawen,Stratford-on-Avon,E05010213,E07000221
Bidford East,Stratford-on-Avon,E05010181,E07000221
Henley-in-Arden,Stratford-on-Avon,E05010192,E07000221
Long Itchington & Stockton,Stratford-on-Avon,E05010195,E07000221
Napton & Fenny Compton,Stratford-on-Avon,E05010196,E07000221
Harbury,Stratford-on-Avon,E05010190,E07000221
Wellesbourne East,Stratford-on-Avon,E05010211,E07000221
Red Horse,Stratford-on-Avon,E05010198,E07000221
Bishop's Itchington,Stratford-on-Avon,E05010183,E07000221
Southam South,Stratford-on-Avon,E05010204,E07000221
Southam North,Stratford-on-Avon,E05010203,E07000221
Kineton,Stratford-on-Avon,E05010193,E07000221
Ettington,Stratford-on-Avon,E05010188,E07000221
Brailes & Compton,Stratford-on-Avon,E05010185,E07000221
Snitterfield,Stratford-on-Avon,E05010202,E07000221
Wellesbourne West,Stratford-on-Avon,E05010212,E07000221
Shipston North,Stratford-on-Avon,E05010199,E07000221
Clopton,Stratford-on-Avon,E05010187,E07000221
Shipston South,Stratford-on-Avon,E05010200,E07000221
Quinton,Stratford-on-Avon,E05010197,E07000221
Avenue,Stratford-on-Avon,E05010180,E07000221
Welcombe,Stratford-on-Avon,E05010209,E07000221
Bishopton,Stratford-on-Avon,E05010184,E07000221
Guildhall,Stratford-on-Avon,E05010189,E07000221
Tiddington,Stratford-on-Avon,E05010208,E07000221
Bridgetown,Stratford-on-Avon,E05010186,E07000221
Welford-on-Avon,Stratford-on-Avon,E05010210,E07000221
Shottery,Stratford-on-Avon,E05010201,E07000221
Hathaway,Stratford-on-Avon,E05010191,E07000221
