Ward Name,La Name,Ward Code,La Code
The Stanleys,Stroud,E07000082,E05010992
Stroud Uplands,Stroud,E05010990,E07000082
Coaley and Uley,Stroud,E05010975,E07000082
Dursley,Stroud,E05010976,E07000082
Cam East,Stroud,E05010972,E07000082
Cam West,Stroud,E05010973,E07000082
Berkeley Vale,Stroud,E05010969,E07000082
Painswick and Upton,Stroud,E05010981,E07000082
Stroud Central,Stroud,E05010986,E07000082
Stroud Valley,Stroud,E05010991,E07000082
Stroud Slade,Stroud,E05010988,E07000082
Stroud Farmhill and Paganhill,Stroud,E05010987,E07000082
"Randwick, Whiteshill and Ruscombe",Stroud,E05010982,E07000082
