Ward Name,La Name,Ward Code,La Code
Washington South,Sunderland,E08000024,E05001176
Washington West,Sunderland,E05001177,E08000024
Houghton,Sunderland,E05001160,E08000024
Copt Hill,Sunderland,E05001155,E08000024
Shiney Row,Sunderland,E05001170,E08000024
Hetton,Sunderland,E05001159,E08000024
Washington East,Sunderland,E05001174,E08000024
Washington North,Sunderland,E05001175,E08000024
Washington Central,Sunderland,E05001173,E08000024
Hendon,Sunderland,E05001158,E08000024
Millfield,Sunderland,E05001161,E08000024
St Peter's,Sunderland,E05001168,E08000024
Southwick,Sunderland,E05001172,E08000024
St Michael's,Sunderland,E05001167,E08000024
Pallion,Sunderland,E05001162,E08000024
Ryhope,Sunderland,E05001164,E08000024
Doxford,Sunderland,E05001156,E08000024
Barnes,Sunderland,E05001153,E08000024
Silksworth,Sunderland,E05001171,E08000024
St Chad's,Sunderland,E05001166,E08000024
Sandhill,Sunderland,E05001169,E08000024
St Anne's,Sunderland,E05001165,E08000024
Fulwell,Sunderland,E05001157,E08000024
Castle,Sunderland,E05001154,E08000024
Redhill,Sunderland,E05001163,E08000024
