Ward Name,La Name,Ward Code,La Code
Boughton and Courtenay,Swale,E07000113,E05009547
Chalkwell,Swale,E05009548,E07000113
Homewood,Swale,E05009551,E07000113
Borden and Grove Park,Swale,E05009546,E07000113
Woodstock,Swale,E05009567,E07000113
West Downs,Swale,E05009566,E07000113
Milton Regis,Swale,E05009553,E07000113
Kemsley,Swale,E05009552,E07000113
The Meads,Swale,E05009564,E07000113
Roman,Swale,E05009558,E07000113
Murston,Swale,E05009555,E07000113
Teynham and Lynsted,Swale,E05009563,E07000113
Queenborough and Halfway,Swale,E05009557,E07000113
Watling,Swale,E05009565,E07000113
Sheerness,Swale,E05009560,E07000113
Minster Cliffs,Swale,E05009554,E07000113
Sheppey Central,Swale,E05009561,E07000113
Sheppey East,Swale,E05009562,E07000113
East Downs,Swale,E05009549,E07000113
Abbey,Swale,E05009544,E07000113
Priory,Swale,E05009556,E07000113
St Ann's,Swale,E05009559,E07000113
"Hartlip, Newington and Upchurch",Swale,E05009550,E07000113
"Bobbing, Iwade and Lower Halstow",Swale,E05009545,E07000113
