Ward Name,La Name,Ward Code,La Code
"Lawford, Manningtree & Mistley",Tendring,E07000076,E05011949
Ardleigh & Little Bromley,Tendring,E05011933,E07000076
The Oakleys & Wix,Tendring,E05011959,E07000076
Stour Valley,Tendring,E05011957,E07000076
Harwich & Kingsway,Tendring,E05011945,E07000076
Dovercourt All Saints,Tendring,E05011939,E07000076
Dovercourt Bay,Tendring,E05011940,E07000076
Dovercourt Tollgate,Tendring,E05011941,E07000076
Dovercourt Vines & Parkeston,Tendring,E05011942,E07000076
"Thorpe, Beaumont & Great Holland",Tendring,E05011960,E07000076
Frinton,Tendring,E05011944,E07000076
Kirby Cross,Tendring,E05011947,E07000076
Kirby-le-Soken & Hamford,Tendring,E05011948,E07000076
Homelands,Tendring,E05011946,E07000076
Walton,Tendring,E05011961,E07000076
St James,Tendring,E05011953,E07000076
St John's,Tendring,E05011954,E07000076
Coppins,Tendring,E05011938,E07000076
Pier,Tendring,E05011951,E07000076
West Clacton & Jaywick Sands,Tendring,E05011963,E07000076
Cann Hall,Tendring,E05011937,E07000076
Burrsville,Tendring,E05011936,E07000076
Eastcliff,Tendring,E05011943,E07000076
St Bartholomew's,Tendring,E05011952,E07000076
St Paul's,Tendring,E05011956,E07000076
Weeley & Tendring,Tendring,E05011962,E07000076
Little Clacton,Tendring,E05011950,E07000076
Bluehouse,Tendring,E05011934,E07000076
St Osyth,Tendring,E05011955,E07000076
Brightlingsea,Tendring,E05011935,E07000076
Alresford & Elmstead,Tendring,E05011932,E07000076
The Bentleys & Frating,Tendring,E05011958,E07000076
