Ward Name,La Name,Ward Code,La Code
Highnam with Haw Bridge,Tewkesbury,E07000083,E05012073
Severn Vale North,Tewkesbury,E05012077,E07000083
Tewkesbury North & Twyning,Tewkesbury,E05012081,E07000083
Brockworth West,Tewkesbury,E05012066,E07000083
Innsworth,Tewkesbury,E05012074,E07000083
Severn Vale South,Tewkesbury,E05012078,E07000083
Churchdown St John's,Tewkesbury,E05012068,E07000083
Tewkesbury South,Tewkesbury,E05012082,E07000083
Tewkesbury East,Tewkesbury,E05012080,E07000083
Isbourne,Tewkesbury,E05012075,E07000083
Northway,Tewkesbury,E05012076,E07000083
Winchcombe,Tewkesbury,E05012083,E07000083
Churchdown Brookfield with Hucclecote,Tewkesbury,E05012067,E07000083
Badgeworth,Tewkesbury,E05012064,E07000083
Brockworth East,Tewkesbury,E05012065,E07000083
Shurdington,Tewkesbury,E05012079,E07000083
Cleeve Grange,Tewkesbury,E05012069,E07000083
Cleeve Hill,Tewkesbury,E05012070,E07000083
Cleeve St Michael's,Tewkesbury,E05012071,E07000083
Cleeve West,Tewkesbury,E05012072,E07000083
