Ward Name,La Name,Ward Code,La Code
Bradstowe,Thanet,E07000114,E05005084
Viking,Thanet,E05005101,E07000114
Kingsgate,Thanet,E05005092,E07000114
Sir Moses Montefiore,Thanet,E05005099,E07000114
Beacon Road,Thanet,E05005081,E07000114
St Peters,Thanet,E05005097,E07000114
Birchington South,Thanet,E05005083,E07000114
Dane Valley,Thanet,E05005089,E07000114
Thanet Villages,Thanet,E05005100,E07000114
Margate Central,Thanet,E05005093,E07000114
Northwood,Thanet,E05005096,E07000114
Cliftonville East,Thanet,E05005087,E07000114
Nethercourt,Thanet,E05005094,E07000114
Cliffsend and Pegwell,Thanet,E05005086,E07000114
Central Harbour,Thanet,E05005085,E07000114
Newington,Thanet,E05005095,E07000114
Eastcliff,Thanet,E05005090,E07000114
Cliftonville West,Thanet,E05005088,E07000114
Westgate-on-Sea,Thanet,E05005103,E07000114
Birchington North,Thanet,E05005082,E07000114
Westbrook,Thanet,E05005102,E07000114
Garlinge,Thanet,E05005091,E07000114
Salmestone,Thanet,E05005098,E07000114
