Ward Name,La Name,Ward Code,La Code
Orsett,Thurrock,E06000034,E05002240
Ockendon,Thurrock,E05002239,E06000034
Aveley and Uplands,Thurrock,E05002229,E06000034
Belhus,Thurrock,E05002230,E06000034
West Thurrock and South Stifford,Thurrock,E05002248,E06000034
Grays Riverside,Thurrock,E05002235,E06000034
South Chafford,Thurrock,E05002241,E06000034
Chafford and North Stifford,Thurrock,E05002232,E06000034
Stifford Clays,Thurrock,E05002244,E06000034
Little Thurrock Blackshots,Thurrock,E05002237,E06000034
Grays Thurrock,Thurrock,E05002236,E06000034
Chadwell St Mary,Thurrock,E05002231,E06000034
East Tilbury,Thurrock,E05002234,E06000034
Little Thurrock Rectory,Thurrock,E05002238,E06000034
Tilbury Riverside and Thurrock Park,Thurrock,E05002246,E06000034
Tilbury St Chads,Thurrock,E05002247,E06000034
Corringham and Fobbing,Thurrock,E05002233,E06000034
Stanford-le-Hope West,Thurrock,E05002243,E06000034
Stanford East and Corringham Town,Thurrock,E05002242,E06000034
The Homesteads,Thurrock,E05002245,E06000034
