Ward Name,La Name,Ward Code,La Code
Snodland West and Holborough Lakes,Tonbridge and Malling,E07000115,E05009586
Burham and Wouldham,Tonbridge and Malling,E05009571,E07000115
Aylesford North and Walderslade,Tonbridge and Malling,E05009568,E07000115
Aylesford South,Tonbridge and Malling,E05009569,E07000115
Downs and Mereworth,Tonbridge and Malling,E05009575,E07000115
Wateringbury,Tonbridge and Malling,E05009589,E07000115
Hadlow and East Peckham,Tonbridge and Malling,E05009577,E07000115
Kings Hill,Tonbridge and Malling,E05012989,E07000115
Snodland East and Ham Hill,Tonbridge and Malling,E05009585,E07000115
West Malling and Leybourne,Tonbridge and Malling,E05009590,E07000115
East Malling,Tonbridge and Malling,E05012988,E07000115
Ditton,Tonbridge and Malling,E05009574,E07000115
Larkfield South,Tonbridge and Malling,E05009583,E07000115
Larkfield North,Tonbridge and Malling,E05009582,E07000115
Medway,Tonbridge and Malling,E05009584,E07000115
Castle,Tonbridge and Malling,E05009573,E07000115
Trench,Tonbridge and Malling,E05009587,E07000115
Cage Green,Tonbridge and Malling,E05009572,E07000115
Higham,Tonbridge and Malling,E05009578,E07000115
Vauxhall,Tonbridge and Malling,E05009588,E07000115
Judd,Tonbridge and Malling,E05009580,E07000115
Hildenborough,Tonbridge and Malling,E05009579,E07000115
Borough Green and Long Mill,Tonbridge and Malling,E05009570,E07000115
"Wrotham, Ightham and Stansted",Tonbridge and Malling,E05009591,E07000115
