Ward Name,La Name,Ward Code,La Code
Winkleigh,Torridge,E07000046,E05011931
Two Rivers & Three Moors,Torridge,E05011929,E07000046
Shebbear & Langtree,Torridge,E05011928,E07000046
Broadheath,Torridge,E05011921,E07000046
Holsworthy,Torridge,E05011924,E07000046
Milton & Tamarside,Torridge,E05011925,E07000046
Hartland,Torridge,E05011923,E07000046
Monkleigh & Putford,Torridge,E05011926,E07000046
Great Torrington,Torridge,E05011922,E07000046
Westward Ho!,Torridge,E05011930,E07000046
Northam,Torridge,E05011927,E07000046
Appledore,Torridge,E05011916,E07000046
Bideford North,Torridge,E05011918,E07000046
Bideford South,Torridge,E05011919,E07000046
Bideford West,Torridge,E05011920,E07000046
Bideford East,Torridge,E05011917,E07000046
