Ward Name,La Name,Ward Code,La Code
Watchfield & Shrivenham,Vale of White Horse,E07000180,E05012980
Botley & Sunningwell,Vale of White Horse,E05012972,E07000180
Kennington & Radley,Vale of White Horse,E05012976,E07000180
Wootton,Vale of White Horse,E05011719,E07000180
Cumnor,Vale of White Horse,E05011714,E07000180
Blewbury & Harwell,Vale of White Horse,E05011713,E07000180
Hendreds,Vale of White Horse,E05012975,E07000180
Sutton Courtenay,Vale of White Horse,E05011717,E07000180
Wantage & Grove Brook,Vale of White Horse,E05012978,E07000180
Grove North,Vale of White Horse,E05012974,E07000180
Wantage Charlton,Vale of White Horse,E05012979,E07000180
Steventon & the Hanneys,Vale of White Horse,E05009771,E07000180
Ridgeway,Vale of White Horse,E05009769,E07000180
Kingston Bagpuize,Vale of White Horse,E05012992,E07000180
Abingdon Abbey Northcourt,Vale of White Horse,E05009754,E07000180
Thames,Vale of White Horse,E05011718,E07000180
Marcham,Vale of White Horse,E05012977,E07000180
Abingdon Caldecott,Vale of White Horse,E05009755,E07000180
Drayton,Vale of White Horse,E05011715,E07000180
Abingdon Fitzharris,Vale of White Horse,E05009757,E07000180
Abingdon Dunmore,Vale of White Horse,E05012970,E07000180
Abingdon Peachcroft,Vale of White Horse,E05012971,E07000180
Faringdon,Vale of White Horse,E05012973,E07000180
Stanford,Vale of White Horse,E05009770,E07000180
