Ward Name,La Name,Ward Code,La Code
Leyton,Waltham Forest,E09000031,E05000604
Grove Green,Waltham Forest,E05000596,E09000031
Cathall,Waltham Forest,E05000591,E09000031
Forest,Waltham Forest,E05000595,E09000031
Hoe Street,Waltham Forest,E05000601,E09000031
Lea Bridge,Waltham Forest,E05000603,E09000031
Leytonstone,Waltham Forest,E05000605,E09000031
Wood Street,Waltham Forest,E05000609,E09000031
Cann Hall,Waltham Forest,E05000590,E09000031
Chapel End,Waltham Forest,E05000592,E09000031
High Street,Waltham Forest,E05000599,E09000031
William Morris,Waltham Forest,E05000608,E09000031
Hale End and Highams Park,Waltham Forest,E05000597,E09000031
Higham Hill,Waltham Forest,E05000600,E09000031
Markhouse,Waltham Forest,E05000606,E09000031
Chingford Green,Waltham Forest,E05000593,E09000031
Endlebury,Waltham Forest,E05000594,E09000031
Hatch Lane,Waltham Forest,E05000598,E09000031
Larkswood,Waltham Forest,E05000602,E09000031
Valley,Waltham Forest,E05000607,E09000031
