Ward Name,La Name,Ward Code,La Code
Hatfield Central,Welwyn Hatfield,E07000241,E05011061
Hatfield East,Welwyn Hatfield,E05011062,E07000241
Hatfield South West,Welwyn Hatfield,E05011063,E07000241
Hatfield Villages,Welwyn Hatfield,E05011064,E07000241
Welham Green and Hatfield South,Welwyn Hatfield,E05011071,E07000241
Welwyn East,Welwyn Hatfield,E05011072,E07000241
Welwyn West,Welwyn Hatfield,E05011073,E07000241
Sherrards,Welwyn Hatfield,E05011070,E07000241
Peartree,Welwyn Hatfield,E05011069,E07000241
Panshanger,Welwyn Hatfield,E05011068,E07000241
Handside,Welwyn Hatfield,E05011060,E07000241
Haldens,Welwyn Hatfield,E05011059,E07000241
Howlands,Welwyn Hatfield,E05011066,E07000241
Hollybush,Welwyn Hatfield,E05011065,E07000241
Brookmans Park and Little Heath,Welwyn Hatfield,E05011058,E07000241
Northaw and Cuffley,Welwyn Hatfield,E05011067,E07000241
