Ward Name,La Name,Ward Code,La Code
Downlands,West Berkshire,E06000037,E05012138
Thatcham Central,West Berkshire,E05012148,E06000037
Newbury Central,West Berkshire,E05012141,E06000037
Newbury Speen,West Berkshire,E05012144,E06000037
Newbury Clay Hill,West Berkshire,E05012142,E06000037
Theale,West Berkshire,E05012152,E06000037
Thatcham West,West Berkshire,E05012151,E06000037
Thatcham North East,West Berkshire,E05012150,E06000037
Chieveley & Cold Ash,West Berkshire,E05012137,E06000037
Thatcham Colthrop & Crookham,West Berkshire,E05012149,E06000037
Bucklebury,West Berkshire,E05012135,E06000037
Newbury Greenham,West Berkshire,E05012143,E06000037
Newbury Wash Common,West Berkshire,E05012145,E06000037
Hungerford & Kintbury,West Berkshire,E05012139,E06000037
Aldermaston,West Berkshire,E05012132,E06000037
Ridgeway,West Berkshire,E05012147,E06000037
Basildon,West Berkshire,E05012133,E06000037
Lambourn,West Berkshire,E05012140,E06000037
Tilehurst South & Holybrook,West Berkshire,E05012155,E06000037
Burghfield & Mortimer,West Berkshire,E05012136,E06000037
Tilehurst Birch Copse,West Berkshire,E05012154,E06000037
Tilehurst & Purley,West Berkshire,E05012153,E06000037
Bradfield,West Berkshire,E05012134,E06000037
Pangbourne,West Berkshire,E05012146,E06000037
