Ward Name,La Name,Ward Code,La Code
Drewsteignton,West Devon,E07000047,E05010556
South Tawton,West Devon,E05010563,E07000047
Exbourne,West Devon,E05010557,E07000047
Hatherleigh,West Devon,E05010558,E07000047
Okehampton North,West Devon,E05010561,E07000047
Okehampton South,West Devon,E05010562,E07000047
Bridestowe,West Devon,E05010551,E07000047
Mary Tavy,West Devon,E05010559,E07000047
Tamarside,West Devon,E05010564,E07000047
Milton Ford,West Devon,E05010560,E07000047
Tavistock South West,West Devon,E05010567,E07000047
Bere Ferrers,West Devon,E05010550,E07000047
Tavistock North,West Devon,E05010565,E07000047
Tavistock South East,West Devon,E05010566,E07000047
Dartmoor,West Devon,E05010555,E07000047
Buckland Monachorum,West Devon,E05010552,E07000047
Burrator,West Devon,E05010553,E07000047
Chagford,West Devon,E05010554,E07000047
