Ward Name,La Name,Ward Code,La Code
Bickerstaffe,West Lancashire,E07000127,E05005380
Aughton and Downholland,West Lancashire,E05005358,E07000127
Scott,West Lancashire,E05005373,E07000127
Knowsley,West Lancashire,E05005367,E07000127
Derby,West Lancashire,E05005363,E07000127
Aughton Park,West Lancashire,E05005359,E07000127
Halsall,West Lancashire,E05005365,E07000127
Burscough West,West Lancashire,E05005362,E07000127
Scarisbrick,West Lancashire,E05005372,E07000127
Rufford,West Lancashire,E05005371,E07000127
Parbold,West Lancashire,E05005370,E07000127
Burscough East,West Lancashire,E05005361,E07000127
Newburgh,West Lancashire,E05005381,E07000127
Ashurst,West Lancashire,E05005357,E07000127
Hesketh-with-Becconsall,West Lancashire,E05005366,E07000127
Tarleton,West Lancashire,E05005377,E07000127
North Meols,West Lancashire,E05005369,E07000127
Up Holland,West Lancashire,E05005378,E07000127
Wrightington,West Lancashire,E05005379,E07000127
Skelmersdale North,West Lancashire,E05005374,E07000127
Moorside,West Lancashire,E05005368,E07000127
Tanhouse,West Lancashire,E05005376,E07000127
Birch Green,West Lancashire,E05005360,E07000127
Digmoor,West Lancashire,E05005364,E07000127
Skelmersdale South,West Lancashire,E05005375,E07000127
