Ward Name,La Name,Ward Code,La Code
Scotter and Blyton,West Lindsey,E07000142,E05009650
Kelsey Wold,West Lindsey,E05009644,E07000142
Gainsborough South-West,West Lindsey,E05009642,E07000142
Lea,West Lindsey,E05009645,E07000142
Gainsborough East,West Lindsey,E05009640,E07000142
Gainsborough North,West Lindsey,E05009641,E07000142
Hemswell,West Lindsey,E05009643,E07000142
Waddingham and Spital,West Lindsey,E05009654,E07000142
Torksey,West Lindsey,E05009653,E07000142
Stow,West Lindsey,E05009651,E07000142
Scampton,West Lindsey,E05009649,E07000142
Wold View,West Lindsey,E05009655,E07000142
Caistor and Yarborough,West Lindsey,E05009637,E07000142
Saxilby,West Lindsey,E05009648,E07000142
Dunholme and Welton,West Lindsey,E05009639,E07000142
Nettleham,West Lindsey,E05009647,E07000142
Sudbrooke,West Lindsey,E05009652,E07000142
Cherry Willingham,West Lindsey,E05009638,E07000142
Bardney,West Lindsey,E05009636,E07000142
Market Rasen,West Lindsey,E05009646,E07000142
