Ward Name,La Name,Ward Code,La Code
Astley Mosley Common,Wigan,E08000010,E05000843
Atherleigh,Wigan,E05000844,E08000010
Atherton,Wigan,E05000845,E08000010
Tyldesley,Wigan,E05000860,E08000010
Leigh South,Wigan,E05000853,E08000010
Golborne and Lowton West,Wigan,E05000848,E08000010
Lowton East,Wigan,E05000855,E08000010
Abram,Wigan,E05000840,E08000010
Wigan Central,Wigan,E05000861,E08000010
Douglas,Wigan,E05000847,E08000010
Ince,Wigan,E05000851,E08000010
Wigan West,Wigan,E05000862,E08000010
Aspull New Springs Whelley,Wigan,E05000842,E08000010
Standish with Langtree,Wigan,E05000859,E08000010
Hindley,Wigan,E05000849,E08000010
Hindley Green,Wigan,E05000850,E08000010
Leigh West,Wigan,E05000854,E08000010
Worsley Mesnes,Wigan,E05000864,E08000010
Winstanley,Wigan,E05000863,E08000010
Bryn,Wigan,E05000846,E08000010
Ashton,Wigan,E05000841,E08000010
Pemberton,Wigan,E05000857,E08000010
Orrell,Wigan,E05000856,E08000010
Shevington with Lower Ground,Wigan,E05000858,E08000010
Leigh East,Wigan,E05000852,E08000010
