Ward Name,La Name,Ward Code,La Code
Upper Meon Valley,Winchester,E07000094,E05011008
Whiteley and Shedfield,Winchester,E05011009,E07000094
Southwick and Wickham,Winchester,E05011006,E07000094
Central Meon Valley,Winchester,E05010998,E07000094
Denmead,Winchester,E05011000,E07000094
St Bartholomew,Winchester,E05011002,E07000094
The Worthys,Winchester,E05011007,E07000094
Alresford and Itchen Valley,Winchester,E05010995,E07000094
Colden Common and Twyford,Winchester,E05010999,E07000094
St Michael,Winchester,E05011004,E07000094
Badger Farm and Oliver's Battery,Winchester,E05010996,E07000094
Wonston and Micheldever,Winchester,E05011010,E07000094
St Luke,Winchester,E05011003,E07000094
St Paul,Winchester,E05011005,E07000094
St Barnabas,Winchester,E05011001,E07000094
Bishop's Waltham,Winchester,E05010997,E07000094
