Ward Name,La Name,Ward Code,La Code
Bulmershe and Whitegates,Wokingham,E06000041,E05002374
Maiden Erlegh,Wokingham,E05002385,E06000041
Twyford,Wokingham,E05002393,E06000041
"Remenham, Wargrave and Ruscombe",Wokingham,E05002387,E06000041
Hurst,Wokingham,E05002383,E06000041
Charvil,Wokingham,E05002375,E06000041
Sonning,Wokingham,E05002390,E06000041
Wescott,Wokingham,E05002394,E06000041
Norreys,Wokingham,E05002386,E06000041
Emmbrook,Wokingham,E05002377,E06000041
Winnersh,Wokingham,E05002395,E06000041
Evendons,Wokingham,E05002378,E06000041
Wokingham Without,Wokingham,E05002396,E06000041
Finchampstead North,Wokingham,E05002379,E06000041
Finchampstead South,Wokingham,E05002380,E06000041
Barkham,Wokingham,E05002373,E06000041
Arborfield,Wokingham,E05002372,E06000041
Hawkedon,Wokingham,E05002381,E06000041
Shinfield South,Wokingham,E05002389,E06000041
Shinfield North,Wokingham,E05002388,E06000041
Hillside,Wokingham,E05002382,E06000041
Swallowfield,Wokingham,E05002392,E06000041
South Lake,Wokingham,E05002391,E06000041
Coronation,Wokingham,E05002376,E06000041
Loddon,Wokingham,E05002384,E06000041
