Ward Name,La Name,Ward Code,La Code
Central,Worthing,E07000229,E05007696
Castle,Worthing,E05007695,E07000229
Tarring,Worthing,E05007706,E07000229
Heene,Worthing,E05007700,E07000229
Selden,Worthing,E05007705,E07000229
Marine,Worthing,E05007701,E07000229
Goring,Worthing,E05007699,E07000229
Northbrook,Worthing,E05007702,E07000229
Gaisford,Worthing,E05007698,E07000229
Salvington,Worthing,E05007704,E07000229
Durrington,Worthing,E05007697,E07000229
Offington,Worthing,E05007703,E07000229
Broadwater,Worthing,E05007694,E07000229
