Ward Name,La Name,Ward Code,La Code
Grosvenor,Wrexham,W06000006,W05000253
Maesydre,Wrexham,W05000264,W06000006
Rhosnesni,Wrexham,W05000911,W06000006
Brynyffynnon,Wrexham,W05000241,W06000006
Wynnstay,Wrexham,W05000283,W06000006
Overton,Wrexham,W05000270,W06000006
Queensway,Wrexham,W05000276,W06000006
Borras Park,Wrexham,W05000238,W06000006
Holt,Wrexham,W05000909,W06000006
Gwersyllt East and South,Wrexham,W05000908,W06000006
Marchwiel,Wrexham,W05000265,W06000006
Minera,Wrexham,W05000910,W06000006
Acton,Wrexham,W05000237,W06000006
Gwersyllt West,Wrexham,W05000257,W06000006
Whitegate,Wrexham,W05000912,W06000006
Stansty,Wrexham,W05000281,W06000006
Garden Village,Wrexham,W05000251,W06000006
Little Acton,Wrexham,W05000261,W06000006
Brymbo,Wrexham,W05000903,W06000006
Coedpoeth,Wrexham,W05000906,W06000006
Gwersyllt North,Wrexham,W05000256,W06000006
Llay,Wrexham,W05000263,W06000006
Bryn Cefn,Wrexham,W05000904,W06000006
Gwenfro,Wrexham,W05000254,W06000006
New Broughton,Wrexham,W05000268,W06000006
Rossett,Wrexham,W05000278,W06000006
Marford and Hoseley,Wrexham,W05000266,W06000006
Gresford East and West,Wrexham,W05000907,W06000006
Bronington,Wrexham,W05000239,W06000006
Ruabon,Wrexham,W05000279,W06000006
Cartrefle,Wrexham,W05000905,W06000006
Ponciau,Wrexham,W05000275,W06000006
Offa,Wrexham,W05000269,W06000006
Erddig,Wrexham,W05000249,W06000006
Smithfield,Wrexham,W05000280,W06000006
Hermitage,Wrexham,W05000258,W06000006
Johnstown,Wrexham,W05000260,W06000006
Pant,Wrexham,W05000271,W06000006
Penycae and Ruabon South,Wrexham,W05000273,W06000006
Cefn,Wrexham,W05000244,W06000006
Penycae,Wrexham,W05000272,W06000006
Plas Madoc,Wrexham,W05000274,W06000006
Chirk North,Wrexham,W05000246,W06000006
Llangollen Rural,Wrexham,W05000262,W06000006
Esclusham,Wrexham,W05000250,W06000006
Chirk South,Wrexham,W05000247,W06000006
Dyffryn Ceiriog/Ceiriog Valley,Wrexham,W05000245,W06000006
