Ward Name,La Name,Ward Code,La Code
Inkberrow,Wychavon,E07000238,E05007917
Honeybourne and Pebworth,Wychavon,E05007916,E07000238
Dodderhill,Wychavon,E05007901,E07000238
Hartlebury,Wychavon,E05007914,E07000238
Lovett and North Claines,Wychavon,E05007919,E07000238
Ombersley,Wychavon,E05007921,E07000238
South Bredon Hill,Wychavon,E05007924,E07000238
Bredon,Wychavon,E05007898,E07000238
Pershore,Wychavon,E05007922,E07000238
Eckington,Wychavon,E05007908,E07000238
Drakes Broughton,Wychavon,E05007902,E07000238
Upton Snodsbury,Wychavon,E05007926,E07000238
Pinvin,Wychavon,E05007923,E07000238
Fladbury,Wychavon,E05007912,E07000238
Elmley Castle and Somerville,Wychavon,E05007909,E07000238
Little Hampton,Wychavon,E05007918,E07000238
Evesham South,Wychavon,E05007911,E07000238
Bengeworth,Wychavon,E05007896,E07000238
Evesham North,Wychavon,E05007910,E07000238
Great Hampton,Wychavon,E05007913,E07000238
Badsey,Wychavon,E05007895,E07000238
Harvington and Norton,Wychavon,E05007915,E07000238
The Littletons,Wychavon,E05007925,E07000238
Bretforton and Offenham,Wychavon,E05007899,E07000238
Broadway and Wickhamford,Wychavon,E05007900,E07000238
Bowbrook,Wychavon,E05007897,E07000238
Norton and Whittington,Wychavon,E05007920,E07000238
Droitwich Central,Wychavon,E05007903,E07000238
Droitwich West,Wychavon,E05007907,E07000238
Droitwich South West,Wychavon,E05007906,E07000238
Droitwich East,Wychavon,E05007904,E07000238
Droitwich South East,Wychavon,E05007905,E07000238
