Ward Name,La Name,Ward Code,La Code
Hardhorn with High Cross,Wyre,E07000128,E05009941
Tithebarn,Wyre,E05009952,E07000128
Marsh Mill,Wyre,E05009943,E07000128
Jubilee,Wyre,E05009942,E07000128
Rossall,Wyre,E05009950,E07000128
Cleveleys Park,Wyre,E05009937,E07000128
Pheasant's Wood,Wyre,E05009947,E07000128
Victoria & Norcross,Wyre,E05009953,E07000128
Carleton,Wyre,E05009936,E07000128
Breck,Wyre,E05009933,E07000128
Bourne,Wyre,E05009932,E07000128
Stanah,Wyre,E05009951,E07000128
Preesall,Wyre,E05009949,E07000128
Hambleton & Stalmine,Wyre,E05009940,E07000128
Pharos,Wyre,E05009946,E07000128
Mount,Wyre,E05009944,E07000128
Warren,Wyre,E05009954,E07000128
Park,Wyre,E05009945,E07000128
Wyresdale,Wyre,E05009955,E07000128
Brock with Catterall,Wyre,E05009934,E07000128
Great Eccleston,Wyre,E05009939,E07000128
Garstang,Wyre,E05009938,E07000128
Pilling,Wyre,E05009948,E07000128
Calder,Wyre,E05009935,E07000128
