Ward Name,La Name,Ward Code,La Code,Value
Lower Deeside,Aberdeen City,S12000033,S13002843,
George St/Harbour,Aberdeen City,S13002842,S12000033
Midstocket/Rosemount,Aberdeen City,S13002841,S12000033
Hazlehead/Queens Cross/Countesswells,Aberdeen City,S13002844,S12000033
Torry/Ferryhill,Aberdeen City,S13002846,S12000033
Kincorth/Nigg/Cove,Aberdeen City,S13002847,S12000033
Airyhall/Broomhill/Garthdee,Aberdeen City,S13002845,S12000033
Kingswells/Sheddocksley/Summerhill,Aberdeen City,S13002837,S12000033
Dyce/Bucksburn/Danestone,Aberdeen City,S13002835,S12000033
Hilton/Woodside/Stockethill,Aberdeen City,S13002839,S12000033
Northfield/Mastrick North,Aberdeen City,S13002838,S12000033
Bridge of Don,Aberdeen City,S13002836,S12000033
Tillydrone/Seaton/Old Aberdeen,Aberdeen City,S13002840,S12000033
