Ward Name,La Name,Ward Code,La Code,Value
North Kincardine,Aberdeenshire,S12000034,S13002864,
Stonehaven and Lower Deeside,Aberdeenshire,S13002865,S12000034
Troup,Aberdeenshire,S13002849,S12000034
Westhill and District,Aberdeenshire,S13002860,S12000034
East Garioch,Aberdeenshire,S13002859,S12000034
Mid Formartine,Aberdeenshire,S13002855,S12000034
Ellon and District,Aberdeenshire,S13002856,S12000034
Mearns,Aberdeenshire,S13002866,S12000034
Banchory and Mid Deeside,Aberdeenshire,S13002863,S12000034
"Aboyne, Upper Deeside and Donside",Aberdeenshire,S13002862,S12000034
"Huntly, Strathbogie and Howe of Alford",Aberdeenshire,S13002861,S12000034
West Garioch,Aberdeenshire,S13002857,S12000034
Turriff and District,Aberdeenshire,S13002854,S12000034
Central Buchan,Aberdeenshire,S13002851,S12000034
Banff and District,Aberdeenshire,S13002848,S12000034
Fraserburgh and District,Aberdeenshire,S13002850,S12000034
Peterhead North and Rattray,Aberdeenshire,S13002852,S12000034
Peterhead South and Cruden,Aberdeenshire,S13002853,S12000034
Inverurie and District,Aberdeenshire,S13002858,S12000034
