Ward Name,La Name,Ward Code,La Code,Value
"Kilburn, Denby and Holbrook",Amber Valley,E07000032,E05008523,
"Shipley Park, Horsley and Horsley Woodhouse",Amber Valley,E05008524,E07000032
Duffield,Amber Valley,E05008521,E07000032
South West Parishes,Amber Valley,E05003300,E07000032
Alport,Amber Valley,E05003281,E07000032
Crich,Amber Valley,E05003287,E07000032
Belper East,Amber Valley,E05003283,E07000032
Belper South,Amber Valley,E05008520,E07000032
Belper Central,Amber Valley,E05003282,E07000032
Belper North,Amber Valley,E05003284,E07000032
Alfreton,Amber Valley,E05003280,E07000032
Wingfield,Amber Valley,E05003302,E07000032
Heage and Ambergate,Amber Valley,E05003289,E07000032
Ripley,Amber Valley,E05003296,E07000032
Ripley and Marehay,Amber Valley,E05003297,E07000032
Codnor and Waingroves,Amber Valley,E05003286,E07000032
Swanwick,Amber Valley,E05003301,E07000032
Somercotes,Amber Valley,E05003299,E07000032
Heanor and Loscoe,Amber Valley,E05003290,E07000032
Ironville and Riddings,Amber Valley,E05003293,E07000032
Heanor West,Amber Valley,E05003292,E07000032
Heanor East,Amber Valley,E05008522,E07000032
Langley Mill and Aldercar,Amber Valley,E05003295,E07000032
