Ward Name,La Name,Ward Code,La Code,Value
Rathcoole,Antrim and Newtownabbey,N09000001,N08000131,
Clady,Antrim and Newtownabbey,N08000113,N09000001
Aldergrove,Antrim and Newtownabbey,N08000102,N09000001
Crumlin,Antrim and Newtownabbey,N08000116,N09000001
Mallusk,Antrim and Newtownabbey,N08000125,N09000001
Hightown,Antrim and Newtownabbey,N08000123,N09000001
Burnthill,Antrim and Newtownabbey,N08000110,N09000001
Mossley,Antrim and Newtownabbey,N08000127,N09000001
Ballyrobert,Antrim and Newtownabbey,N08000109,N09000001
Glengormley,Antrim and Newtownabbey,N08000121,N09000001
Carnmoney,Antrim and Newtownabbey,N08000111,N09000001
Ballyhenry,Antrim and Newtownabbey,N08000107,N09000001
Ballynure,Antrim and Newtownabbey,N08000108,N09000001
Jordanstown,Antrim and Newtownabbey,N08000124,N09000001
Carnmoney Hill,Antrim and Newtownabbey,N08000112,N09000001
Abbey,Antrim and Newtownabbey,N08000101,N09000001
Monkstown,Antrim and Newtownabbey,N08000126,N09000001
Ballyduff,Antrim and Newtownabbey,N08000106,N09000001
Valley,Antrim and Newtownabbey,N08000139,N09000001
O'Neill,Antrim and Newtownabbey,N08000128,N09000001
Glebe,Antrim and Newtownabbey,N08000120,N09000001
Collinbridge,Antrim and Newtownabbey,N08000114,N09000001
Fairview,Antrim and Newtownabbey,N08000118,N09000001
Templepatrick,Antrim and Newtownabbey,N08000137,N09000001
Rostulla,Antrim and Newtownabbey,N08000132,N09000001
Whitehouse,Antrim and Newtownabbey,N08000140,N09000001
Parkgate,Antrim and Newtownabbey,N08000129,N09000001
Doagh,Antrim and Newtownabbey,N08000117,N09000001
Ballyclare East,Antrim and Newtownabbey,N08000104,N09000001
Ballyclare West,Antrim and Newtownabbey,N08000105,N09000001
Steeple,Antrim and Newtownabbey,N08000135,N09000001
Springfarm,Antrim and Newtownabbey,N08000134,N09000001
Fountain Hill,Antrim and Newtownabbey,N08000119,N09000001
Greystone,Antrim and Newtownabbey,N08000122,N09000001
Stiles,Antrim and Newtownabbey,N08000136,N09000001
Randalstown,Antrim and Newtownabbey,N08000130,N09000001
Shilvodan,Antrim and Newtownabbey,N08000133,N09000001
Cranfield,Antrim and Newtownabbey,N08000115,N09000001
Toome,Antrim and Newtownabbey,N08000138,N09000001
Antrim Centre,Antrim and Newtownabbey,N08000103,N09000001
