Ward Name,La Name,Ward Code,La Code,Value
Oban North and Lorn,Argyll and Bute,S12000035,S13002520,
Lomond North,Argyll and Bute,S13002524,S12000035
Helensburgh and Lomond South,Argyll and Bute,S13002526,S12000035
Helensburgh Central,Argyll and Bute,S13002525,S12000035
Isle of Bute,Argyll and Bute,S13002523,S12000035
Cowal,Argyll and Bute,S13002521,S12000035
Dunoon,Argyll and Bute,S13002522,S12000035
South Kintyre,Argyll and Bute,S13002516,S12000035
Kintyre and the Islands,Argyll and Bute,S13002517,S12000035
Mid Argyll,Argyll and Bute,S13002518,S12000035
Oban South and the Isles,Argyll and Bute,S13002519,S12000035
