Ward Name,La Name,Ward Code,La Code,Value
Quilly,"Armagh City, Banbridge and Craigavon",N09000002,N08000233,
Dromore,"Armagh City, Banbridge and Craigavon",N08000216,N09000002
Donaghcloney,"Armagh City, Banbridge and Craigavon",N08000215,N09000002
Gransha,"Armagh City, Banbridge and Craigavon",N08000218,N09000002
Rathfriland,"Armagh City, Banbridge and Craigavon",N08000234,N09000002
Banbridge West,"Armagh City, Banbridge and Craigavon",N08000206,N09000002
Banbridge South,"Armagh City, Banbridge and Craigavon",N08000205,N09000002
Gilford,"Armagh City, Banbridge and Craigavon",N08000217,N09000002
Loughbrickland,"Armagh City, Banbridge and Craigavon",N08000225,N09000002
Banbridge East,"Armagh City, Banbridge and Craigavon",N08000203,N09000002
Banbridge North,"Armagh City, Banbridge and Craigavon",N08000204,N09000002
Seagahan,"Armagh City, Banbridge and Craigavon",N08000236,N09000002
Markethill,"Armagh City, Banbridge and Craigavon",N08000229,N09000002
Demesne,"Armagh City, Banbridge and Craigavon",N08000213,N09000002
The Mall,"Armagh City, Banbridge and Craigavon",N08000240,N09000002
Hamiltonsbawn,"Armagh City, Banbridge and Craigavon",N08000219,N09000002
Navan,"Armagh City, Banbridge and Craigavon",N08000231,N09000002
Keady,"Armagh City, Banbridge and Craigavon",N08000220,N09000002
Cathedral,"Armagh City, Banbridge and Craigavon",N08000210,N09000002
Blackwatertown,"Armagh City, Banbridge and Craigavon",N08000207,N09000002
Loughgall,"Armagh City, Banbridge and Craigavon",N08000226,N09000002
Richhill,"Armagh City, Banbridge and Craigavon",N08000235,N09000002
Killycomain,"Armagh City, Banbridge and Craigavon",N08000222,N09000002
The Birches,"Armagh City, Banbridge and Craigavon",N08000239,N09000002
Corcrain,"Armagh City, Banbridge and Craigavon",N08000211,N09000002
Ballybay,"Armagh City, Banbridge and Craigavon",N08000202,N09000002
Tandragee,"Armagh City, Banbridge and Craigavon",N08000238,N09000002
Mahon,"Armagh City, Banbridge and Craigavon",N08000228,N09000002
Craigavon Centre,"Armagh City, Banbridge and Craigavon",N08000212,N09000002
Bleary,"Armagh City, Banbridge and Craigavon",N08000208,N09000002
Kernan,"Armagh City, Banbridge and Craigavon",N08000221,N09000002
Derrytrasna,"Armagh City, Banbridge and Craigavon",N08000214,N09000002
Brownlow,"Armagh City, Banbridge and Craigavon",N08000209,N09000002
Shankill,"Armagh City, Banbridge and Craigavon",N08000237,N09000002
Parklake,"Armagh City, Banbridge and Craigavon",N08000232,N09000002
Lough Road,"Armagh City, Banbridge and Craigavon",N08000224,N09000002
Knocknashane,"Armagh City, Banbridge and Craigavon",N08000223,N09000002
Aghagallon,"Armagh City, Banbridge and Craigavon",N08000201,N09000002
Waringstown,"Armagh City, Banbridge and Craigavon",N08000241,N09000002
Magheralin,"Armagh City, Banbridge and Craigavon",N08000227,N09000002
Mourneview,"Armagh City, Banbridge and Craigavon",N08000230,N09000002
