Ward Name,La Name,Ward Code,La Code,Value
Sudbury North West,Babergh,E07000200,E05012586,
Long Melford,Babergh,E05012579,E07000200
Great Cornard,Babergh,E05012575,E07000200
Assington,Babergh,E05012565,E07000200
Lavenham,Babergh,E05012578,E07000200
Box Vale,Babergh,E05012566,E07000200
Sudbury South East,Babergh,E05012587,E07000200
Sudbury South West,Babergh,E05012588,E07000200
Sudbury North East,Babergh,E05012585,E07000200
Brett Vale,Babergh,E05012568,E07000200
Bures St Mary & Nayland,Babergh,E05012569,E07000200
Chadacre,Babergh,E05012571,E07000200
North West Cosford,Babergh,E05012580,E07000200
Brantham,Babergh,E05012567,E07000200
East Bergholt,Babergh,E05012573,E07000200
Copdock & Washbrook,Babergh,E05012572,E07000200
Capel St Mary,Babergh,E05012570,E07000200
Sproughton & Pinewood,Babergh,E05012583,E07000200
Orwell,Babergh,E05012581,E07000200
Hadleigh South,Babergh,E05012577,E07000200
Hadleigh North,Babergh,E05012576,E07000200
South East Cosford,Babergh,E05012582,E07000200
Stour,Babergh,E05012584,E07000200
Ganges,Babergh,E05012574,E07000200
