Ward Name,La Name,Ward Code,La Code,Value
Kingsmead,Bath and North East Somerset,E06000022,E05012471,
Weston,Bath and North East Somerset,E05012492,E06000022
Moorlands,Bath and North East Somerset,E05012477,E06000022
Widcombe & Lyncombe,Bath and North East Somerset,E05012493,E06000022
Bathavon North,Bath and North East Somerset,E05012461,E06000022
Lansdown,Bath and North East Somerset,E05012473,E06000022
Walcot,Bath and North East Somerset,E05012489,E06000022
Oldfield Park,Bath and North East Somerset,E05012480,E06000022
Southdown,Bath and North East Somerset,E05012486,E06000022
Combe Down,Bath and North East Somerset,E05012466,E06000022
Newbridge,Bath and North East Somerset,E05012478,E06000022
Twerton,Bath and North East Somerset,E05012488,E06000022
Bathwick,Bath and North East Somerset,E05012463,E06000022
Lambridge,Bath and North East Somerset,E05012472,E06000022
Bathavon South,Bath and North East Somerset,E05012462,E06000022
Timsbury,Bath and North East Somerset,E05012487,E06000022
Clutton & Farmborough,Bath and North East Somerset,E05012465,E06000022
Westmoreland,Bath and North East Somerset,E05012491,E06000022
Odd Down,Bath and North East Somerset,E05012479,E06000022
Peasedown,Bath and North East Somerset,E05012482,E06000022
Saltford,Bath and North East Somerset,E05012485,E06000022
Midsomer Norton North,Bath and North East Somerset,E05012475,E06000022
Midsomer Norton Redfield,Bath and North East Somerset,E05012476,E06000022
Radstock,Bath and North East Somerset,E05012484,E06000022
Paulton,Bath and North East Somerset,E05012481,E06000022
Westfield,Bath and North East Somerset,E05012490,E06000022
Mendip,Bath and North East Somerset,E05012474,E06000022
Publow & Whitchurch,Bath and North East Somerset,E05012483,E06000022
Chew Valley,Bath and North East Somerset,E05012464,E06000022
Keynsham North,Bath and North East Somerset,E05012469,E06000022
Keynsham South,Bath and North East Somerset,E05012470,E06000022
Keynsham East,Bath and North East Somerset,E05012468,E06000022
High Littleton,Bath and North East Somerset,E05012467,E06000022
