Ward Name,La Name,Ward Code,La Code,Value
Llanhilleth,Blaenau Gwent,W06000019,W05000761,
Abertillery,Blaenau Gwent,W05000751,W06000019
Cwmtillery,Blaenau Gwent,W05000941,W06000019
Six Bells,Blaenau Gwent,W05000765,W06000019
Blaina,Blaenau Gwent,W05000938,W06000019
Nantyglo,Blaenau Gwent,W05000944,W06000019
Sirhowy,Blaenau Gwent,W05000764,W06000019
Tredegar Central and West,Blaenau Gwent,W05000766,W06000019
Georgetown,Blaenau Gwent,W05000760,W06000019
Rassau,Blaenau Gwent,W05000945,W06000019
Brynmawr,Blaenau Gwent,W05000939,W06000019
Beaufort,Blaenau Gwent,W05000937,W06000019
Ebbw Vale South,Blaenau Gwent,W05000943,W06000019
Badminton,Blaenau Gwent,W05000936,W06000019
Ebbw Vale North,Blaenau Gwent,W05000942,W06000019
Cwm,Blaenau Gwent,W05000940,W06000019
