Ward Name,La Name,Ward Code,La Code,Value
City,Bradford,E08000032,E05001347,
Bolton and Undercliffe,Bradford,E05001344,E08000032
Manningham,Bradford,E05001359,E08000032
Bowling and Barkerend,Bradford,E05001345,E08000032
Little Horton,Bradford,E05001358,E08000032
Idle and Thackley,Bradford,E05001353,E08000032
Eccleshill,Bradford,E05001350,E08000032
Windhill and Wrose,Bradford,E05001368,E08000032
Tong,Bradford,E05001365,E08000032
Royds,Bradford,E05001361,E08000032
Wyke,Bradford,E05001370,E08000032
Queensbury,Bradford,E05001360,E08000032
Clayton and Fairweather Green,Bradford,E05001348,E08000032
Thornton and Allerton,Bradford,E05001363,E08000032
Bingley Rural,Bradford,E05001343,E08000032
Bingley,Bradford,E05001342,E08000032
Heaton,Bradford,E05001352,E08000032
Shipley,Bradford,E05001362,E08000032
Keighley East,Bradford,E05001356,E08000032
Baildon,Bradford,E05001341,E08000032
Toller,Bradford,E05001364,E08000032
Bradford Moor,Bradford,E05001346,E08000032
Craven,Bradford,E05001349,E08000032
Keighley Central,Bradford,E05001355,E08000032
Keighley West,Bradford,E05001357,E08000032
Worth Valley,Bradford,E05001369,E08000032
Wibsey,Bradford,E05001367,E08000032
Great Horton,Bradford,E05001351,E08000032
Wharfedale,Bradford,E05001366,E08000032
Ilkley,Bradford,E05001354,E08000032
