Ward Name,La Name,Ward Code,La Code,Value
Guiltcross,Breckland,E07000143,E05010246,
Harling & Heathlands,Breckland,E05010247,E07000143
Thetford Castle,Breckland,E05010260,E07000143
Thetford Priory,Breckland,E05010261,E07000143
Forest,Breckland,E05010245,E07000143
Thetford Boudica,Breckland,E05010258,E07000143
All Saints & Wayland,Breckland,E05010237,E07000143
Thetford Burrell,Breckland,E05010259,E07000143
Watton,Breckland,E05010263,E07000143
Ashill,Breckland,E05010238,E07000143
Saham Toney,Breckland,E05010254,E07000143
Shipdham-with-Scarning,Breckland,E05010255,E07000143
Necton,Breckland,E05010253,E07000143
Bedingfeld,Breckland,E05010239,E07000143
Dereham Withburga,Breckland,E05010244,E07000143
The Buckenhams & Banham,Breckland,E05010257,E07000143
Attleborough Queens & Besthorpe,Breckland,E05010241,E07000143
Attleborough Burgh & Haverscroft,Breckland,E05010240,E07000143
Mattishall,Breckland,E05010251,E07000143
Dereham Neatherd,Breckland,E05010242,E07000143
Dereham Toftwood,Breckland,E05010243,E07000143
Lincoln,Breckland,E05010250,E07000143
Launditch,Breckland,E05010249,E07000143
Upper Wensum,Breckland,E05010262,E07000143
Hermitage,Breckland,E05010248,E07000143
Nar Valley,Breckland,E05010252,E07000143
Swaffham,Breckland,E05010256,E07000143
