Ward Name,La Name,Ward Code,La Code,Value
Morfa,Bridgend,W06000013,W05000615,
Litchard,Bridgend,W05000609,W06000013
Oldcastle,Bridgend,W05000899,W06000013
Pendre,Bridgend,W05000622,W06000013
Newcastle,Bridgend,W05000617,W06000013
Brackla,Bridgend,W05000896,W06000013
Coity,Bridgend,W05000604,W06000013
Coychurch Lower,Bridgend,W05000898,W06000013
"Bryntirion, Laleston and Merthyr Mawr",Bridgend,W05000897,W06000013
Cefn Glas,Bridgend,W05000603,W06000013
Pen-y-fai,Bridgend,W05000624,W06000013
Llangewydd and Brynhyfryd,Bridgend,W05000611,W06000013
Cefn Cribwr,Bridgend,W05000602,W06000013
Aberkenfig,Bridgend,W05000593,W06000013
Newton,Bridgend,W05000618,W06000013
Ogmore Vale,Bridgend,W05000620,W06000013
Blackmill,Bridgend,W05000595,W06000013
Nant-y-moel,Bridgend,W05000616,W06000013
Blaengarw,Bridgend,W05000596,W06000013
Llangeinor,Bridgend,W05000610,W06000013
Pontycymmer,Bridgend,W05000625,W06000013
Bettws,Bridgend,W05000594,W06000013
Llangynwyd,Bridgend,W05000612,W06000013
Ynysawdre,Bridgend,W05000631,W06000013
Bryncoch,Bridgend,W05000599,W06000013
Bryncethin,Bridgend,W05000598,W06000013
Sarn,Bridgend,W05000630,W06000013
Cornelly,Bridgend,W05000605,W06000013
Nottage,Bridgend,W05000619,W06000013
Pyle,Bridgend,W05000628,W06000013
Maesteg East,Bridgend,W05000613,W06000013
Caerau,Bridgend,W05000601,W06000013
Maesteg West,Bridgend,W05000614,W06000013
Felindre,Bridgend,W05000607,W06000013
Penprysg,Bridgend,W05000623,W06000013
Hendre,Bridgend,W05000608,W06000013
Porthcawl West Central,Bridgend,W05000627,W06000013
Porthcawl East Central,Bridgend,W05000626,W06000013
Rest Bay,Bridgend,W05000629,W06000013
