Ward Name,La Name,Ward Code,La Code,Value
Sprowston East,Broadland,E07000144,E05005778,
Thorpe St Andrew South East,Broadland,E05005782,E07000144
Hevingham,Broadland,E05005770,E07000144
Horsford and Felthorpe,Broadland,E05005771,E07000144
Spixworth with St Faiths,Broadland,E05005776,E07000144
Drayton North,Broadland,E05005764,E07000144
Coltishall,Broadland,E05005763,E07000144
Eynesford,Broadland,E05005766,E07000144
Reepham,Broadland,E05005775,E07000144
Taverham North,Broadland,E05005779,E07000144
Great Witchingham,Broadland,E05005767,E07000144
Buxton,Broadland,E05005762,E07000144
Aylsham,Broadland,E05005758,E07000144
Old Catton and Sprowston West,Broadland,E05005773,E07000144
Wroxham,Broadland,E05005783,E07000144
Blofield with South Walsham,Broadland,E05005759,E07000144
Acle,Broadland,E05005757,E07000144
Marshes,Broadland,E05005772,E07000144
Brundall,Broadland,E05005760,E07000144
Burlingham,Broadland,E05005761,E07000144
Plumstead,Broadland,E05005774,E07000144
Sprowston Central,Broadland,E05005777,E07000144
Hellesdon North West,Broadland,E05005768,E07000144
Hellesdon South East,Broadland,E05005769,E07000144
Thorpe St Andrew North West,Broadland,E05005781,E07000144
Drayton South,Broadland,E05005765,E07000144
Taverham South,Broadland,E05005780,E07000144
