Ward Name,La Name,Ward Code,La Code,Value
Bromley Town,Bromley,E09000006,E05000109,
Shortlands,Bromley,E05000126,E09000006
Bickley,Bromley,E05000106,E09000006
Plaistow and Sundridge,Bromley,E05000125,E09000006
Copers Cope,Bromley,E05000113,E09000006
Darwin,Bromley,E05000117,E09000006
Bromley Common and Keston,Bromley,E05000108,E09000006
Hayes and Coney Hall,Bromley,E05000119,E09000006
Clock House,Bromley,E05000112,E09000006
Kelsey and Eden Park,Bromley,E05000120,E09000006
Penge and Cator,Bromley,E05000123,E09000006
West Wickham,Bromley,E05000127,E09000006
Petts Wood and Knoll,Bromley,E05000124,E09000006
Orpington,Bromley,E05000122,E09000006
Farnborough and Crofton,Bromley,E05000118,E09000006
Cray Valley West,Bromley,E05000115,E09000006
Cray Valley East,Bromley,E05000114,E09000006
Chislehurst,Bromley,E05000111,E09000006
Chelsfield and Pratts Bottom,Bromley,E05000110,E09000006
Mottingham and Chislehurst North,Bromley,E05000121,E09000006
Biggin Hill,Bromley,E05000107,E09000006
Crystal Palace,Bromley,E05000116,E09000006
