Ward Name,La Name,Ward Code,La Code,Value
Wythall West,Bromsgrove,E07000234,E05009852,
Hollywood,Bromsgrove,E05009838,E07000234
Cofton,Bromsgrove,E05009833,E07000234
Barnt Green & Hopwood,Bromsgrove,E05009827,E07000234
Belbroughton & Romsley,Bromsgrove,E05009828,E07000234
Lickey Hills,Bromsgrove,E05009839,E07000234
Marlbrook,Bromsgrove,E05009841,E07000234
Rubery South,Bromsgrove,E05009846,E07000234
Rubery North,Bromsgrove,E05009845,E07000234
Drakes Cross,Bromsgrove,E05009834,E07000234
Wythall East,Bromsgrove,E05009851,E07000234
Alvechurch South,Bromsgrove,E05009823,E07000234
Alvechurch Village,Bromsgrove,E05009824,E07000234
Tardebigge,Bromsgrove,E05009850,E07000234
Lowes Hill,Bromsgrove,E05009840,E07000234
Bromsgrove Central,Bromsgrove,E05009829,E07000234
Aston Fields,Bromsgrove,E05009825,E07000234
Norton,Bromsgrove,E05009842,E07000234
Slideslow,Bromsgrove,E05009849,E07000234
Sanders Park,Bromsgrove,E05009847,E07000234
Avoncroft,Bromsgrove,E05009826,E07000234
Charford,Bromsgrove,E05009832,E07000234
Rock Hill,Bromsgrove,E05009844,E07000234
Sidemoor,Bromsgrove,E05009848,E07000234
Perryfields,Bromsgrove,E05009843,E07000234
Catshill South,Bromsgrove,E05009831,E07000234
Catshill North,Bromsgrove,E05009830,E07000234
Hill Top,Bromsgrove,E05009837,E07000234
Hagley West,Bromsgrove,E05009836,E07000234
Hagley East,Bromsgrove,E05009835,E07000234
