Ward Name,La Name,Ward Code,La Code,Value
Cannock South,Cannock Chase,E07000192,E05006905,
Cannock West,Cannock Chase,E05006906,E07000192
Cannock East,Cannock Chase,E05006903,E07000192
Cannock North,Cannock Chase,E05006904,E07000192
Hawks Green,Cannock Chase,E05006909,E07000192
Hednesford South,Cannock Chase,E05006913,E07000192
Hednesford Green Heath,Cannock Chase,E05006911,E07000192
Norton Canes,Cannock Chase,E05006914,E07000192
Hednesford North,Cannock Chase,E05006912,E07000192
Rawnsley,Cannock Chase,E05006915,E07000192
Heath Hayes East and Wimblebury,Cannock Chase,E05006910,E07000192
Etching Hill and The Heath,Cannock Chase,E05006907,E07000192
Brereton and Ravenhill,Cannock Chase,E05006902,E07000192
Hagley,Cannock Chase,E05006908,E07000192
Western Springs,Cannock Chase,E05006916,E07000192
