Ward Name,La Name,Ward Code,La Code,Value
Loughguile and Stranocum,Causeway Coast and Glens,N09000004,N08000426,
Lurigethan,Causeway Coast and Glens,N08000427,N09000004
Torr Head and Rathlin,Causeway Coast and Glens,N08000437,N09000004
Rasharkin,Causeway Coast and Glens,N08000434,N09000004
Clogh Mills,Causeway Coast and Glens,N08000411,N09000004
Dunloy,Causeway Coast and Glens,N08000417,N09000004
Garvagh,Causeway Coast and Glens,N08000419,N09000004
Greysteel,Causeway Coast and Glens,N08000421,N09000004
Ballykelly,Causeway Coast and Glens,N08000405,N09000004
Altahullion,Causeway Coast and Glens,N08000402,N09000004
Dungiven,Causeway Coast and Glens,N08000416,N09000004
Feeny,Causeway Coast and Glens,N08000418,N09000004
Roeside,Causeway Coast and Glens,N08000435,N09000004
Drumsurn,Causeway Coast and Glens,N08000414,N09000004
Greystone,Causeway Coast and Glens,N08000422,N09000004
Coolessan,Causeway Coast and Glens,N08000412,N09000004
Magilligan,Causeway Coast and Glens,N08000429,N09000004
Waterside,Causeway Coast and Glens,N08000439,N09000004
Churchland,Causeway Coast and Glens,N08000410,N09000004
Castlerock,Causeway Coast and Glens,N08000409,N09000004
Macosquin,Causeway Coast and Glens,N08000428,N09000004
Aghadowey,Causeway Coast and Glens,N08000401,N09000004
Kilrea,Causeway Coast and Glens,N08000424,N09000004
Mountsandel,Causeway Coast and Glens,N08000430,N09000004
Windy Hall,Causeway Coast and Glens,N08000440,N09000004
University,Causeway Coast and Glens,N08000438,N09000004
Dundooan,Causeway Coast and Glens,N08000415,N09000004
Quarry,Causeway Coast and Glens,N08000433,N09000004
Ballymoney North,Causeway Coast and Glens,N08000407,N09000004
Ballymoney East,Causeway Coast and Glens,N08000406,N09000004
Route,Causeway Coast and Glens,N08000436,N09000004
Dervock,Causeway Coast and Glens,N08000413,N09000004
Ballymoney South,Causeway Coast and Glens,N08000408,N09000004
Kinbane,Causeway Coast and Glens,N08000425,N09000004
Giant's Causeway,Causeway Coast and Glens,N08000420,N09000004
Ballycastle,Causeway Coast and Glens,N08000404,N09000004
Portstewart,Causeway Coast and Glens,N08000432,N09000004
Atlantic,Causeway Coast and Glens,N08000403,N09000004
Portrush and Dunluce,Causeway Coast and Glens,N08000431,N09000004
Hopefield,Causeway Coast and Glens,N08000423,N09000004
