Ward Name,La Name,Ward Code,La Code,Value
Launton and Otmoor,Cherwell,E07000177,E05010934,
Fringford and Heyfords,Cherwell,E05012969,E07000177
Deddington,Cherwell,E05010930,E07000177
Banbury Grimsbury and Hightown,Cherwell,E05010922,E07000177
"Adderbury, Bloxham and Bodicote",Cherwell,E05011348,E07000177
Banbury Calthorpe and Easington,Cherwell,E05011349,E07000177
"Cropredy, Sibfords and Wroxton",Cherwell,E05010929,E07000177
Banbury Cross and Neithrop,Cherwell,E05010921,E07000177
Banbury Ruscote,Cherwell,E05010924,E07000177
Banbury Hardwick,Cherwell,E05010923,E07000177
Kidlington East,Cherwell,E05010932,E07000177
Kidlington West,Cherwell,E05010933,E07000177
Bicester East,Cherwell,E05010925,E07000177
Bicester South and Ambrosden,Cherwell,E05012968,E07000177
Bicester North and Caversfield,Cherwell,E05010926,E07000177
Bicester West,Cherwell,E05010928,E07000177
