Ward Name,La Name,Ward Code,La Code,Value
Barrow Hill and New Whittington,Chesterfield,E07000034,E05003323,
St Leonard's,Chesterfield,E05003339,E07000034
Brockwell,Chesterfield,E05003326,E07000034
Holmebrook,Chesterfield,E05003330,E07000034
Dunston,Chesterfield,E05003327,E07000034
St Helen's,Chesterfield,E05003338,E07000034
Brimington South,Chesterfield,E05003325,E07000034
Walton,Chesterfield,E05003340,E07000034
West,Chesterfield,E05003341,E07000034
Moor,Chesterfield,E05003335,E07000034
Brimington North,Chesterfield,E05003324,E07000034
Rother,Chesterfield,E05003337,E07000034
Hasland,Chesterfield,E05003328,E07000034
Loundsley Green,Chesterfield,E05003332,E07000034
Linacre,Chesterfield,E05003331,E07000034
Old Whittington,Chesterfield,E05003336,E07000034
Hollingwood and Inkersall,Chesterfield,E05003329,E07000034
Lowgates and Woodthorpe,Chesterfield,E05003333,E07000034
Middlecroft and Poolsbrook,Chesterfield,E05003334,E07000034
