Ward Name,La Name,Ward Code,La Code,Value
Marks Tey and Layer,Colchester,E07000071,E05010832,
Castle,Colchester,E05010828,E07000071
Tiptree,Colchester,E05010842,E07000071
Shrub End,Colchester,E05010840,E07000071
Mile End,Colchester,E05010834,E07000071
New Town and Christ Church,Colchester,E05010835,E07000071
Old Heath and The Hythe,Colchester,E05010836,E07000071
Greenstead,Colchester,E05010829,E07000071
Berechurch,Colchester,E05010827,E07000071
Stanway,Colchester,E05010841,E07000071
Lexden and Braiswick,Colchester,E05010831,E07000071
Prettygate,Colchester,E05010837,E07000071
St Anne's and St John's,Colchester,E05010839,E07000071
Highwoods,Colchester,E05010830,E07000071
Wivenhoe,Colchester,E05010843,E07000071
Rural North,Colchester,E05010838,E07000071
Mersea and Pyefleet,Colchester,E05010833,E07000071
