Ward Name,La Name,Ward Code,La Code,Value
Llanarmon-yn-Ial/Llandegla,Denbighshire,W06000004,W05000157,
Tremeirchion,Denbighshire,W05000179,W06000004
Llanfair Dyffryn Clwyd/Gwyddelwern,Denbighshire,W05000161,W06000004
Llangollen,Denbighshire,W05000162,W06000004
Ruthin,Denbighshire,W05000175,W06000004
Llanbedr Dyffryn Clwyd/Llangynhafal,Denbighshire,W05000158,W06000004
Llanrhaeadr-yng-Nghinmeirch,Denbighshire,W05000163,W06000004
Llandyrnog,Denbighshire,W05000160,W06000004
Efenechtyd,Denbighshire,W05000156,W06000004
Denbigh Central,Denbighshire,W05000152,W06000004
Denbigh Lower,Denbighshire,W05000153,W06000004
Denbigh Upper/Henllan,Denbighshire,W05000154,W06000004
Trefnant,Denbighshire,W05000178,W06000004
St. Asaph East,Denbighshire,W05000176,W06000004
St. Asaph West,Denbighshire,W05000177,W06000004
Bodelwyddan,Denbighshire,W05000150,W06000004
Rhyl South West,Denbighshire,W05000173,W06000004
Dyserth,Denbighshire,W05000155,W06000004
Rhyl West,Denbighshire,W05000174,W06000004
Rhyl South,Denbighshire,W05000171,W06000004
Rhyl South East,Denbighshire,W05000172,W06000004
Rhuddlan,Denbighshire,W05000169,W06000004
Rhyl East,Denbighshire,W05000170,W06000004
Prestatyn East,Denbighshire,W05000165,W06000004
Prestatyn North,Denbighshire,W05000167,W06000004
Prestatyn Central,Denbighshire,W05000164,W06000004
Prestatyn South West,Denbighshire,W05000168,W06000004
Prestatyn Meliden,Denbighshire,W05000166,W06000004
Corwen,Denbighshire,W05000151,W06000004
Llandrillo,Denbighshire,W05000159,W06000004
