Ward Name,La Name,Ward Code,La Code,Value
Bakewell,Derbyshire Dales,E07000035,E05003344,
Lathkill and Bradford,Derbyshire Dales,E05003357,E07000035
Hartington and Taddington,Derbyshire Dales,E05003354,E07000035
Stanton,Derbyshire Dales,E05003363,E07000035
Winster and South Darley,Derbyshire Dales,E05003365,E07000035
Litton and Longstone,Derbyshire Dales,E05003358,E07000035
Chatsworth,Derbyshire Dales,E05003349,E07000035
Masson,Derbyshire Dales,E05003359,E07000035
Darley Dale,Derbyshire Dales,E05003351,E07000035
Matlock All Saints,Derbyshire Dales,E05003360,E07000035
Carsington Water,Derbyshire Dales,E05003348,E07000035
Dovedale and Parwich,Derbyshire Dales,E05003352,E07000035
Matlock St Giles,Derbyshire Dales,E05003361,E07000035
Wirksworth,Derbyshire Dales,E05003366,E07000035
Hulland,Derbyshire Dales,E05003356,E07000035
Ashbourne South,Derbyshire Dales,E05003343,E07000035
Ashbourne North,Derbyshire Dales,E05003342,E07000035
Clifton and Bradley,Derbyshire Dales,E05003350,E07000035
Norbury,Derbyshire Dales,E05003362,E07000035
Brailsford,Derbyshire Dales,E05003346,E07000035
Doveridge and Sudbury,Derbyshire Dales,E05003353,E07000035
Hathersage and Eyam,Derbyshire Dales,E05003355,E07000035
Bradwell,Derbyshire Dales,E05003345,E07000035
Calver,Derbyshire Dales,E05003347,E07000035
Tideswell,Derbyshire Dales,E05003364,E07000035
