Ward Name,La Name,Ward Code,La Code,Value
Dunnamanagh,Derry City and Strabane,N09000005,N08000515,
Victoria,Derry City and Strabane,N08000540,N09000005
Ebrington,Derry City and Strabane,N08000516,N09000005
Caw,Derry City and Strabane,N08000507,N09000005
Lisnagelvin,Derry City and Strabane,N08000525,N09000005
Kilfennan,Derry City and Strabane,N08000524,N09000005
Enagh,Derry City and Strabane,N08000518,N09000005
Drumahoe,Derry City and Strabane,N08000514,N09000005
New Buildings,Derry City and Strabane,N08000527,N09000005
Clondermot,Derry City and Strabane,N08000510,N09000005
Slievekirk,Derry City and Strabane,N08000536,N09000005
Eglinton,Derry City and Strabane,N08000517,N09000005
Claudy,Derry City and Strabane,N08000509,N09000005
Park,Derry City and Strabane,N08000530,N09000005
Madam's Bank,Derry City and Strabane,N08000526,N09000005
Northland,Derry City and Strabane,N08000529,N09000005
Foyle Springs,Derry City and Strabane,N08000520,N09000005
Springtown,Derry City and Strabane,N08000537,N09000005
Ballymagroarty,Derry City and Strabane,N08000503,N09000005
Creggan South,Derry City and Strabane,N08000512,N09000005
Sheriff's Mountain,Derry City and Strabane,N08000533,N09000005
Creggan,Derry City and Strabane,N08000511,N09000005
City Walls,Derry City and Strabane,N08000508,N09000005
Brandywell,Derry City and Strabane,N08000504,N09000005
Carn Hill,Derry City and Strabane,N08000505,N09000005
Shantallow,Derry City and Strabane,N08000531,N09000005
Skeoge,Derry City and Strabane,N08000535,N09000005
Shantallow East,Derry City and Strabane,N08000532,N09000005
Culmore,Derry City and Strabane,N08000513,N09000005
Galliagh,Derry City and Strabane,N08000521,N09000005
Newtownstewart,Derry City and Strabane,N08000528,N09000005
Glenelly Valley,Derry City and Strabane,N08000523,N09000005
Sion Mills,Derry City and Strabane,N08000534,N09000005
Castlederg,Derry City and Strabane,N08000506,N09000005
Glenderg,Derry City and Strabane,N08000522,N09000005
Finn,Derry City and Strabane,N08000519,N09000005
Artigarvan,Derry City and Strabane,N08000501,N09000005
Strabane North,Derry City and Strabane,N08000538,N09000005
Strabane West,Derry City and Strabane,N08000539,N09000005
Ballycolman,Derry City and Strabane,N08000502,N09000005
