Ward Name,La Name,Ward Code,La Code,Value
Downham Villages,East Cambridgeshire,E07000009,E05011562,
Bottisham,East Cambridgeshire,E05011560,E07000009
Burwell,East Cambridgeshire,E05011561,E07000009
Stretham,East Cambridgeshire,E05011571,E07000009
Ely West,East Cambridgeshire,E05011565,E07000009
Littleport,East Cambridgeshire,E05011568,E07000009
Ely North,East Cambridgeshire,E05011564,E07000009
Ely East,East Cambridgeshire,E05011563,E07000009
Sutton,East Cambridgeshire,E05011572,E07000009
Haddenham,East Cambridgeshire,E05011567,E07000009
Soham North,East Cambridgeshire,E05011569,E07000009
Soham South,East Cambridgeshire,E05011570,E07000009
Fordham & Isleham,East Cambridgeshire,E05011566,E07000009
Woodditton,East Cambridgeshire,E05011573,E07000009
