Ward Name,La Name,Ward Code,La Code,Value
Headley,East Hampshire,E07000085,E05012305,
"Binsted, Bentley & Selborne",East Hampshire,E05012298,E07000085
Bentworth & Froyle,East Hampshire,E05012297,E07000085
Grayshott,East Hampshire,E05012304,E07000085
Bramshott & Liphook,East Hampshire,E05012299,E07000085
Whitehill Pinewood,East Hampshire,E05012320,E07000085
Petersfield St Peter's,East Hampshire,E05012315,E07000085
"Froxfield, Sheet & Steep",East Hampshire,E05012303,E07000085
Petersfield Heath,East Hampshire,E05012314,E07000085
Petersfield Causeway,East Hampshire,E05012313,E07000085
Buriton & East Meon,East Hampshire,E05012300,E07000085
Liss,East Hampshire,E05012311,E07000085
"Ropley, Hawkley & Hangers",East Hampshire,E05012316,E07000085
Petersfield Bell Hill,East Hampshire,E05012312,E07000085
Whitehill Hogmoor & Greatham,East Hampshire,E05012319,E07000085
Alton Westbrooke,East Hampshire,E05012294,E07000085
Alton Eastbrooke,East Hampshire,E05012292,E07000085
Four Marks & Medstead,East Hampshire,E05012302,E07000085
Alton Ashdell,East Hampshire,E05012291,E07000085
Alton Whitedown,East Hampshire,E05012295,E07000085
Alton Amery,East Hampshire,E05012290,E07000085
Alton Wooteys,East Hampshire,E05012296,E07000085
Alton Holybourne,East Hampshire,E05012293,E07000085
Whitehill Chase,East Hampshire,E05012318,E07000085
Lindford,East Hampshire,E05012310,E07000085
Horndean Catherington,East Hampshire,E05012306,E07000085
Horndean Kings & Blendworth,East Hampshire,E05012308,E07000085
Rowlands Castle,East Hampshire,E05012317,E07000085
Horndean Downs,East Hampshire,E05012307,E07000085
Clanfield,East Hampshire,E05012301,E07000085
Horndean Murray,East Hampshire,E05012309,E07000085
