Ward Name,La Name,Ward Code,La Code,Value
Hertford Rural South,East Hertfordshire,E07000242,E05004730,
Datchworth & Aston,East Hertfordshire,E05004723,E07000242
Hertford Rural North,East Hertfordshire,E05004729,E07000242
Stanstead Abbots,East Hertfordshire,E05004738,E07000242
Sawbridgeworth,East Hertfordshire,E05004737,E07000242
Hunsdon,East Hertfordshire,E05004732,E07000242
Much Hadham,East Hertfordshire,E05004735,E07000242
Bishop's Stortford Central,East Hertfordshire,E05012982,E07000242
Bishop's Stortford South,East Hertfordshire,E05012985,E07000242
Bishop's Stortford All Saints,East Hertfordshire,E05012981,E07000242
Bishop's Stortford Meads,East Hertfordshire,E05012983,E07000242
Bishop's Stortford Silverleys,East Hertfordshire,E05012984,E07000242
Little Hadham,East Hertfordshire,E05004733,E07000242
Hertford Heath,East Hertfordshire,E05004727,E07000242
Great Amwell,East Hertfordshire,E05004724,E07000242
Ware Chadwell,East Hertfordshire,E05004741,E07000242
Thundridge & Standon,East Hertfordshire,E05004739,E07000242
Puckeridge,East Hertfordshire,E05004736,E07000242
Mundens and Cottered,East Hertfordshire,E05012987,E07000242
Braughing,East Hertfordshire,E05004721,E07000242
Ware St Mary's,East Hertfordshire,E05004743,E07000242
Hertford Bengeo,East Hertfordshire,E05004725,E07000242
Ware Christchurch,East Hertfordshire,E05004742,E07000242
Watton-at-Stone,East Hertfordshire,E05004745,E07000242
Ware Trinity,East Hertfordshire,E05004744,E07000242
Hertford Kingsmead,East Hertfordshire,E05004728,E07000242
Hertford Castle,East Hertfordshire,E05004726,E07000242
Hertford Sele,East Hertfordshire,E05004731,E07000242
Walkern,East Hertfordshire,E05009315,E07000242
Buntingford,East Hertfordshire,E05012986,E07000242
