Ward Name,La Name,Ward Code,La Code,Value
Tutbury and Outwoods,East Staffordshire,E07000193,E05006934,
Horninglow,East Staffordshire,E05006927,E07000193
Stretton,East Staffordshire,E05006932,E07000193
Eton Park,East Staffordshire,E05006925,E07000193
Rolleston on Dove,East Staffordshire,E05006929,E07000193
Burton,East Staffordshire,E05006922,E07000193
Branston,East Staffordshire,E05006920,E07000193
Needwood,East Staffordshire,E05006928,E07000193
Yoxall,East Staffordshire,E05006937,E07000193
Crown,East Staffordshire,E05006924,E07000193
Shobnall,East Staffordshire,E05006930,E07000193
Winshill,East Staffordshire,E05006936,E07000193
Anglesey,East Staffordshire,E05006918,E07000193
Brizlincote,East Staffordshire,E05006921,E07000193
Stapenhill,East Staffordshire,E05006931,E07000193
Weaver,East Staffordshire,E05006935,E07000193
Abbey,East Staffordshire,E05006917,E07000193
Town,East Staffordshire,E05006933,E07000193
Heath,East Staffordshire,E05006926,E07000193
Churnet,East Staffordshire,E05006923,E07000193
Bagots,East Staffordshire,E05006919,E07000193
