Ward Name,La Name,Ward Code,La Code,Value
Little Eaton & Stanley,Erewash,E07000036,E05010613,
West Hallam & Dale Abbey,Erewash,E05010621,E07000036
Little Hallam,Erewash,E05010614,E07000036
Breaston,Erewash,E05010605,E07000036
Ockbrook & Borrowash,Erewash,E05010617,E07000036
Draycott & Risley,Erewash,E05010609,E07000036
Sandiacre,Erewash,E05010618,E07000036
Hallam Fields,Erewash,E05010610,E07000036
Kirk Hallam & Stanton-by-Dale,Erewash,E05010611,E07000036
Larklands,Erewash,E05010612,E07000036
Awsworth Road,Erewash,E05010604,E07000036
Shipley View,Erewash,E05010620,E07000036
Cotmanhay,Erewash,E05010606,E07000036
Long Eaton Central,Erewash,E05010615,E07000036
Nottingham Road,Erewash,E05010616,E07000036
Derby Road East,Erewash,E05010607,E07000036
Sawley,Erewash,E05010619,E07000036
Wilsthorpe,Erewash,E05010622,E07000036
Derby Road West,Erewash,E05010608,E07000036
