Ward Name,La Name,Ward Code,La Code,Value
Newtownsaville,Fermanagh and Omagh,N09000006,N08000631,
Sixmilecross,Fermanagh and Omagh,N08000636,N09000006
Termon,Fermanagh and Omagh,N08000639,N09000006
Castlecoole,Fermanagh and Omagh,N08000608,N09000006
Ballinamallard,Fermanagh and Omagh,N08000601,N09000006
Lisbellaw,Fermanagh and Omagh,N08000626,N09000006
Tempo,Fermanagh and Omagh,N08000638,N09000006
Erne,Fermanagh and Omagh,N08000618,N09000006
Lisnarrick,Fermanagh and Omagh,N08000627,N09000006
"Boho, Cleenish and Letterbreen",Fermanagh and Omagh,N08000605,N09000006
Portora,Fermanagh and Omagh,N08000633,N09000006
Rossorry,Fermanagh and Omagh,N08000635,N09000006
Derrygonnelly,Fermanagh and Omagh,N08000611,N09000006
Florence Court and Kinawley,Fermanagh and Omagh,N08000621,N09000006
Brookeborough,Fermanagh and Omagh,N08000606,N09000006
Dergmoney,Fermanagh and Omagh,N08000610,N09000006
Strule,Fermanagh and Omagh,N08000637,N09000006
Coolnagard,Fermanagh and Omagh,N08000609,N09000006
Beragh,Fermanagh and Omagh,N08000604,N09000006
Fairy Water,Fermanagh and Omagh,N08000619,N09000006
Dromore,Fermanagh and Omagh,N08000614,N09000006
Fintona,Fermanagh and Omagh,N08000620,N09000006
Trillick,Fermanagh and Omagh,N08000640,N09000006
Drumquin,Fermanagh and Omagh,N08000616,N09000006
Irvinestown,Fermanagh and Omagh,N08000624,N09000006
Gortin,Fermanagh and Omagh,N08000622,N09000006
Gortrush,Fermanagh and Omagh,N08000623,N09000006
Camowen,Fermanagh and Omagh,N08000607,N09000006
Drumnakilly,Fermanagh and Omagh,N08000615,N09000006
Owenkillew,Fermanagh and Omagh,N08000632,N09000006
Killyclogher,Fermanagh and Omagh,N08000625,N09000006
Donagh,Fermanagh and Omagh,N08000613,N09000006
Lisnaskea,Fermanagh and Omagh,N08000628,N09000006
Maguiresbridge,Fermanagh and Omagh,N08000629,N09000006
Derrylin,Fermanagh and Omagh,N08000612,N09000006
Newtownbutler,Fermanagh and Omagh,N08000630,N09000006
Rosslea,Fermanagh and Omagh,N08000634,N09000006
Ederney and Kesh,Fermanagh and Omagh,N08000617,N09000006
Belleek and Boa,Fermanagh and Omagh,N08000603,N09000006
Belcoo and Garrison,Fermanagh and Omagh,N08000602,N09000006
