Ward Name,La Name,Ward Code,La Code,Value
Newnham,Forest of Dean,E07000080,E05012171,
Westbury-on-Severn,Forest of Dean,E05012176,E07000080
Cinderford East,Forest of Dean,E05012158,E07000080
Cinderford West,Forest of Dean,E05012159,E07000080
Ruspidge,Forest of Dean,E05012173,E07000080
Lydney West & Aylburton,Forest of Dean,E05012167,E07000080
Lydney East,Forest of Dean,E05012165,E07000080
Lydney North,Forest of Dean,E05012166,E07000080
Bream,Forest of Dean,E05012157,E07000080
Pillowell,Forest of Dean,E05012172,E07000080
St. Briavels,Forest of Dean,E05012174,E07000080
Tidenham,Forest of Dean,E05012175,E07000080
Newland & Sling,Forest of Dean,E05012170,E07000080
Berry Hill,Forest of Dean,E05012156,E07000080
Coleford,Forest of Dean,E05012160,E07000080
Longhope & Huntley,Forest of Dean,E05012163,E07000080
"Mitcheldean, Ruardean & Drybrook",Forest of Dean,E05012168,E07000080
Newent & Taynton,Forest of Dean,E05012169,E07000080
Lydbrook,Forest of Dean,E05012164,E07000080
Dymock,Forest of Dean,E05012161,E07000080
Hartpury & Redmarley,Forest of Dean,E05012162,E07000080
