Ward Name,La Name,Ward Code,La Code,Value
Anderston/City/Yorkhill,Glasgow City,S12000049,S13002976,
Calton,Glasgow City,S13002975,S12000049
Partick East/Kelvindale,Glasgow City,S13002989,S12000049
Victoria Park,Glasgow City,S13002978,S12000049
Hillhead,Glasgow City,S13002977,S12000049
Drumchapel/Anniesland,Glasgow City,S13002980,S12000049
Garscadden/Scotstounhill,Glasgow City,S13002979,S12000049
Newlands/Auldburn,Glasgow City,S13002968,S12000049
Maryhill,Glasgow City,S13002981,S12000049
Canal,Glasgow City,S13002982,S12000049
Dennistoun,Glasgow City,S13002988,S12000049
Springburn/Robroyston,Glasgow City,S13002983,S12000049
Shettleston,Glasgow City,S13002985,S12000049
East Centre,Glasgow City,S13002984,S12000049
Baillieston,Glasgow City,S13002986,S12000049
Govan,Glasgow City,S13002971,S12000049
North East,Glasgow City,S13003133,S12000049
Pollokshields,Glasgow City,S13002972,S12000049
Southside Central,Glasgow City,S13002974,S12000049
Langside,Glasgow City,S13002973,S12000049
Cardonald,Glasgow City,S13002970,S12000049
Linn,Glasgow City,S13002967,S12000049
Greater Pollok,Glasgow City,S13002969,S12000049
