Ward Name,La Name,Ward Code,La Code,Value
Barnwood,Gloucester,E07000081,E05010952,
Westgate,Gloucester,E05010967,E07000081
Elmbridge,Gloucester,E05010955,E07000081
Quedgeley Severn Vale,Gloucester,E05010965,E07000081
Kingsholm and Wotton,Gloucester,E05010958,E07000081
Barton and Tredworth,Gloucester,E05010953,E07000081
Quedgeley Fieldcourt,Gloucester,E05010964,E07000081
Longlevens,Gloucester,E05010960,E07000081
Moreland,Gloucester,E05010962,E07000081
Tuffley,Gloucester,E05010966,E07000081
Podsmead,Gloucester,E05010963,E07000081
Kingsway,Gloucester,E05010959,E07000081
Grange,Gloucester,E05010956,E07000081
Hucclecote,Gloucester,E05010957,E07000081
Coney Hill,Gloucester,E05010954,E07000081
Abbeymead,Gloucester,E05010951,E07000081
Abbeydale,Gloucester,E05010950,E07000081
Matson and Robinswood,Gloucester,E05010961,E07000081
