Ward Name,La Name,Ward Code,La Code,Value
Fleggburgh,Great Yarmouth,E07000145,E05005791,
Ormesby,Great Yarmouth,E05005796,E07000145
West Flegg,Great Yarmouth,E05005799,E07000145
Central and Northgate,Great Yarmouth,E05005788,E07000145
Southtown and Cobholm,Great Yarmouth,E05005798,E07000145
East Flegg,Great Yarmouth,E05005790,E07000145
Nelson,Great Yarmouth,E05005795,E07000145
Yarmouth North,Great Yarmouth,E05005800,E07000145
Caister South,Great Yarmouth,E05005787,E07000145
Caister North,Great Yarmouth,E05005786,E07000145
Claydon,Great Yarmouth,E05005789,E07000145
Bradwell North,Great Yarmouth,E05005784,E07000145
St Andrews,Great Yarmouth,E05005797,E07000145
Gorleston,Great Yarmouth,E05005792,E07000145
Magdalen,Great Yarmouth,E05005794,E07000145
Bradwell South and Hopton,Great Yarmouth,E05005785,E07000145
Lothingland,Great Yarmouth,E05005793,E07000145
