Ward Name,La Name,Ward Code,La Code,Value
Coldharbour and New Eltham,Greenwich,E09000011,E05000217,
Eltham South,Greenwich,E05000219,E09000011
Shooters Hill,Greenwich,E05000227,E09000011
Peninsula,Greenwich,E05000225,E09000011
Blackheath Westcombe,Greenwich,E05000215,E09000011
Greenwich West,Greenwich,E05000222,E09000011
Middle Park and Sutcliffe,Greenwich,E05000224,E09000011
Eltham West,Greenwich,E05000220,E09000011
Glyndon,Greenwich,E05000221,E09000011
Plumstead,Greenwich,E05000226,E09000011
Woolwich Common,Greenwich,E05000229,E09000011
Woolwich Riverside,Greenwich,E05000230,E09000011
Charlton,Greenwich,E05000216,E09000011
Kidbrooke with Hornfair,Greenwich,E05000223,E09000011
Abbey Wood,Greenwich,E05000214,E09000011
Thamesmead Moorings,Greenwich,E05000228,E09000011
Eltham North,Greenwich,E05000218,E09000011
