Ward Name,La Name,Ward Code,La Code,Value
Hoxton East & Shoreditch,Hackney,E09000012,E05009377,
Hackney Wick,Hackney,E05009374,E09000012
King's Park,Hackney,E05009379,E09000012
Haggerston,Hackney,E05009375,E09000012
Lea Bridge,Hackney,E05009380,E09000012
Hackney Downs,Hackney,E05009373,E09000012
Homerton,Hackney,E05009376,E09000012
Cazenove,Hackney,E05009368,E09000012
Hackney Central,Hackney,E05009372,E09000012
Springfield,Hackney,E05009383,E09000012
London Fields,Hackney,E05009381,E09000012
Dalston,Hackney,E05009370,E09000012
Shacklewell,Hackney,E05009382,E09000012
De Beauvoir,Hackney,E05009371,E09000012
Victoria,Hackney,E05009386,E09000012
Hoxton West,Hackney,E05009378,E09000012
Woodberry Down,Hackney,E05009387,E09000012
Stoke Newington,Hackney,E05009385,E09000012
Clissold,Hackney,E05009369,E09000012
Stamford Hill West,Hackney,E05009384,E09000012
Brownswood,Hackney,E05009367,E09000012
