Ward Name,La Name,Ward Code,La Code,Value
Greenhill,Harrow,E09000015,E05000288,
Marlborough,Harrow,E05000296,E09000015
Headstone South,Harrow,E05000293,E09000015
Harrow on the Hill,Harrow,E05000289,E09000015
West Harrow,Harrow,E05000305,E09000015
Headstone North,Harrow,E05000292,E09000015
Roxbourne,Harrow,E05000301,E09000015
Hatch End,Harrow,E05000291,E09000015
Rayners Lane,Harrow,E05000300,E09000015
Pinner South,Harrow,E05000298,E09000015
Roxeth,Harrow,E05000302,E09000015
Kenton West,Harrow,E05000295,E09000015
Wealdstone,Harrow,E05000304,E09000015
Harrow Weald,Harrow,E05000290,E09000015
Belmont,Harrow,E05000285,E09000015
Queensbury,Harrow,E05000299,E09000015
Kenton East,Harrow,E05000294,E09000015
Pinner,Harrow,E05000297,E09000015
Canons,Harrow,E05000286,E09000015
Stanmore Park,Harrow,E05000303,E09000015
Edgware,Harrow,E05000287,E09000015
